symbol,date,open,high,low,close,volume,adjusted
TR,1988-03-24,4.014149,4.014149,3.94494,3.94494,7224,2.559101
TR,1988-03-25,3.979544,3.979544,3.94494,3.94494,5780,2.559101
TR,1988-03-28,3.927637,3.927637,3.87573,3.87573,8669,2.514204
TR,1988-03-29,3.858428,3.996847,3.858428,3.910335,16616,2.536652
TR,1988-03-30,3.94494,3.94494,3.94494,3.94494,11559,2.559101
TR,1988-03-31,3.979544,4.048754,3.87573,3.910335,26008,2.536652
TR,1988-04-04,3.87573,3.910335,3.87573,3.893033,34677,2.525428
TR,1988-04-05,3.927637,4.014149,3.927637,4.014149,14449,2.603997
TR,1988-04-06,3.979544,4.117963,3.979544,4.048754,35400,2.626445
TR,1988-04-07,4.014149,4.135266,3.979544,4.014149,19506,2.603997
TR,1988-04-08,3.979544,4.014149,3.94494,4.014149,18784,2.603997
TR,1988-04-11,4.014149,4.014149,3.94494,3.979544,13004,2.581548
TR,1988-04-12,3.996847,4.014149,3.962242,4.014149,23841,2.603997
TR,1988-04-13,3.979544,4.048754,3.979544,4.048754,49126,2.626445
TR,1988-04-14,4.014149,4.014149,3.910335,3.910335,35400,2.536652
TR,1988-04-15,3.893033,3.910335,3.87573,3.893033,19506,2.525428
TR,1988-04-18,3.893033,3.927637,3.893033,3.927637,6502,2.547877
TR,1988-04-19,3.962242,3.996847,3.962242,3.979544,13004,2.581548
TR,1988-04-20,4.014149,4.014149,3.979544,3.979544,4335,2.581548
TR,1988-04-21,4.014149,4.048754,3.94494,3.94494,7224,2.559101
TR,1988-04-22,3.94494,4.014149,3.94494,4.014149,13726,2.603997
TR,1988-04-25,3.979544,4.014149,3.927637,4.014149,18784,2.603997
TR,1988-04-26,4.048754,4.135266,4.048754,4.135266,18784,2.682567
TR,1988-04-27,4.135266,4.135266,4.100661,4.135266,8669,2.682567
TR,1988-04-28,4.100661,4.117963,4.031452,4.066056,18061,2.637668
TR,1988-04-29,4.031452,4.083359,3.979544,4.083359,20228,2.648892
TR,1988-05-02,4.117963,4.117963,3.94494,3.94494,18061,2.559101
TR,1988-05-03,3.979544,3.996847,3.94494,3.94494,5780,2.559101
TR,1988-05-04,3.979544,4.083359,3.962242,4.066056,51294,2.637668
TR,1988-05-05,4.031452,4.083359,4.014149,4.014149,33955,2.603997
TR,1988-05-06,4.014149,4.048754,3.996847,3.996847,21673,2.592773
TR,1988-05-09,3.979544,3.979544,3.979544,3.979544,15894,2.581548
TR,1988-05-10,3.94494,3.94494,3.841126,3.87573,43347,2.514204
TR,1988-05-11,3.858428,3.858428,3.841126,3.841126,45514,2.4917570000000002
TR,1988-05-12,3.858428,3.962242,3.858428,3.962242,23841,2.570325
TR,1988-05-13,3.927637,3.94494,3.927637,3.927637,43347,2.547877
TR,1988-05-16,3.94494,3.94494,3.87573,3.87573,23841,2.514204
TR,1988-05-17,3.841126,3.841126,3.789218,3.789218,12282,2.458082
TR,1988-05-18,3.771916,3.806521,3.771916,3.789218,38290,2.458082
TR,1988-05-19,3.754614,3.87573,3.754614,3.87573,58518,2.514204
TR,1988-05-20,3.87573,3.87573,3.806521,3.87573,36845,2.514204
TR,1988-05-23,3.910335,3.962242,3.910335,3.910335,80914,2.536652
